process,relevant,sentiment,gender,dizziness,convulsions,heart palpitations,shortness of breathe,headaches,drug effect decreased,allergies worse after taking drug,bad interaction between claritin and another drug.,nausea ,caused insomnia
pollen profit air brand claritin per day,yes,3,female,no,no,no,no,no,no,no,no,no,no
best payment buy online dovonex prescription u order dovonex online pharmacy claritin online,yes,3,female,no,no,no,no,no,no,no,no,no,no
generic pharmacy order atridox online cod rx needed purchasing atridox buy cheap claritin fast,yes,3,female,no,no,no,no,no,no,no,no,no,no
buying claritin without prescription buy claritin without prescription image,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
order uk claritin claritin muscle cramp image,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
best site buy claritin tesco order claritin buy online order claritin,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
acheter loratadine bon marche achat loratadine mg en france acheter claritin pharmacie achat lorata,non_english,,,,,,,,,,,,
something eat every day sure find taking claritin pretty much everyday bec,yes,4,male,no,no,no,no,no,no,no,no,no,no
photo new mi amor reserva beso ashton cigar generic claritin roll taken,non_english,,,,,,,,,,,,
claritin buy claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
spookclub yeah totally want claritin allergy season,yes,4,female,no,no,no,no,no,no,no,no,no,no
cv coupon deal cheap physician formula claritin shave cream almay dr pepper new,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
best buy claritin buy online cod,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
best buy claritin without prescription ontario,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
buy claritin ups,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
buying claritin generic without prescription,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
purchase claritin generic online,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
spookclub yeah totally want claritin allergy season,yes,4,male,no,no,no,no,no,no,no,no,no,no
spookclub yeah totally want claritin allergy season,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
save claritin hour allergy non drowsy tablet overstockdrugstore,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
save claritin hour allergy relief mg tablet ov overstockdrugstore,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
save claritin hour allergy non drowsy tablet overstockdrug overstockdrugstore,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
save claritin childrens allergy grape chewable mg tablet overstockdrugstore,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
save claritin childrens indoor outdoor allergy relief hr reditabs o overstockdrugstore,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
allegra allergy tablet mg pack tablet generic claritin,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
allegra allergy tablet mg pack tablet generic claritin,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
kirkland signature aller fex mg tablet generic claritin,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
kirkland signature aller tec cetirizine hcl mg antihistamine tablet tablet bottle generic claritin,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
member mark original prescription strength fexofenadine hydrochloride mg tablet generic claritin,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
